date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:47	426937/426937	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7ff5-683b9%22	http://kotlis.kwst.net/light/images/bg/25.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/25.jpg	(from http://kotlis.kwst.net/light/index2.html)
22:53:03	253427/253427	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fcc-3ddf3%22	http://kotlis.kwst.net/light/images/bg/15.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/15.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:53:42	626494/626494	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7f9d-98f3e%22	http://kotlis.kwst.net/light/images/bg/1.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/1.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:53:43	484428/484428	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fb0-7644c%22	http://kotlis.kwst.net/light/images/bg/6.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/6.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:54:20	227108/227108	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fef-37724%22	http://kotlis.kwst.net/light/images/bg/23.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/23.jpg	(from http://kotlis.kwst.net/light/index6.html)
22:54:22	244831/244831	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fc2-3bc5f%22	http://kotlis.kwst.net/light/images/bg/12.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/12.jpg	(from http://kotlis.kwst.net/light/index4.html)
22:54:37	585968/585968	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fcf-8f0f0%22	http://kotlis.kwst.net/light/images/bg/16.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/16.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:54:39	113750/113750	---M--	200	added ('OK')	image/jpeg	etag:%225c7e8019-1bc56%22	http://kotlis.kwst.net/light/images/folio/1.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/folio/1.jpg	(from http://kotlis.kwst.net/light/portfolio.html)
22:54:42	714445/714445	---M--	200	added ('OK')	image/jpeg	etag:%225c7e7fc6-ae6cd%22	http://kotlis.kwst.net/light/images/bg/13.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/bg/13.jpg	(from http://kotlis.kwst.net/light/index3.html)
22:55:02	121995/121995	---M--	200	added ('OK')	image/jpeg	etag:%225c7e8025-1dc8b%22	http://kotlis.kwst.net/light/images/folio/5.jpg	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/folio/5.jpg	(from http://kotlis.kwst.net/light/portfolio.html)
